mean_h,mean_s,mean_v,label
65.36627442434808,129.08418682356358,144.22699208251615,menuju_busuk
103.20021035234016,128.90785816242206,154.40537900984148,menuju_busuk
71.91435241699219,61.41217041015625,159.98251342773438,menuju_busuk
27.476173078755917,114.28334974743463,167.8940972773771,menuju_busuk
59.72900390625,95.95904541015625,135.98983764648438,menuju_busuk
25.748352596170434,135.47835087114026,175.39996549939625,menuju_busuk
123.60115807996071,98.2067766092401,176.28782174571347,menuju_busuk
22.580563061647712,138.43134544083455,226.6459812731729,menuju_busuk
85.36445242369838,100.38084979054457,159.07959305804906,menuju_busuk
25.541912064303443,153.75749157313777,130.5787680112605,menuju_busuk
121.24147092460633,82.06958740212897,176.20248086566377,menuju_busuk
24.05172125668449,119.62708890374331,145.82422571301248,menuju_busuk
59.837664446970926,111.57286421958746,168.05806399220398,menuju_busuk
44.05579069965628,158.59702298099592,132.65250120728345,menuju_busuk
61.25549377813079,137.477760127085,138.4395684405613,menuju_busuk
66.27780732943252,102.79904252638651,153.53856490943195,menuju_busuk
119.51902455897614,159.25216188170182,108.847531748777,menuju_busuk
36.919646814168345,132.92407868271232,174.1270582620257,menuju_busuk
131.7414961856776,115.86090370100568,161.0760840972096,menuju_busuk
87.94955372552887,119.98791853641698,206.58121702253564,menuju_busuk
101.3894498486564,101.32736431063564,174.93075163474202,menuju_busuk
48.91065752049523,153.79672076292454,176.4717416764263,menuju_busuk
74.56767283349562,126.27612163882856,138.81046363568274,menuju_busuk
61.11160126038384,140.2739902606703,150.61847608135204,menuju_busuk
111.25775805946037,162.3299496057676,131.80700696838906,menuju_busuk
26.22646947809079,163.6333596403939,122.73156504134784,menuju_busuk
127.1123468898024,121.94910585731277,164.59714542077919,menuju_busuk
53.32258064516129,124.69770022576817,185.43037538744116,menuju_busuk
12.330521746912476,133.05919992840523,169.5903884016467,menuju_busuk
56.24626329405002,120.75047906486539,194.9965028264827,menuju_busuk
69.62195638066756,134.2278306012471,156.10391332562142,menuju_busuk
54.8182797353439,123.00209262963534,164.2836436374827,menuju_busuk
83.93428942843964,110.9247704113725,135.91499979033003,menuju_busuk
34.72310581509365,123.00601618719982,192.52113144205683,menuju_matang
46.42870864461046,165.99983991462113,219.90752401280685,menuju_matang
26.688319754484674,165.4595740016806,186.60008768404515,menuju_matang
21.203033581348112,171.72695560020313,192.07921753913408,menuju_matang
32.14208136536838,119.1104113902389,229.23273324662878,menuju_matang
42.63917599513608,138.28044419012195,184.88428525446156,menuju_matang
25.98720272054053,148.25390965836635,167.70521511510842,menuju_matang
21.582475199765106,145.72129359703027,230.30097942576708,menuju_matang
32.64871067908735,141.28743080869447,212.84044372440482,menuju_matang
27.92221541394336,180.84014161220045,183.4138071895425,menuju_matang
39.641932615354214,139.15684220926786,209.4608635510325,menuju_matang
42.889535388623536,133.4141554494138,198.50056448111158,menuju_matang
35.857574833562026,149.28439294607918,194.45517609391678,menuju_matang
22.17049056384309,154.13734042862544,188.85838494867545,menuju_matang
34.226148130582565,159.9574341949253,179.2451980080626,menuju_matang
46.020191999999994,109.507808,219.656928,menuju_matang
23.279113981350154,157.97769864501916,208.20584241180555,menuju_matang
17.473190232032675,144.88709046667245,236.28337099157034,menuju_matang
59.29545961209779,116.83640484506205,212.95125213643456,menuju_matang
23.675599973110447,145.15862594393528,199.6675779236785,menuju_matang
33.47031720305626,176.43970826580227,222.58620050937716,menuju_matang
29.139419386879766,165.39410357126732,195.3140999593661,menuju_matang
20.146138379657007,146.23654642223536,223.27027794204614,menuju_matang
26.286949820174687,155.12031169720842,203.86825655077922,menuju_matang
28.490732360001576,191.06996969816223,170.2619338081933,menuju_matang
27.503936406023083,122.70641290223955,193.42824020994166,menuju_matang
30.77352954873562,141.29884040422854,185.1227820984492,menuju_matang
70.15217644094731,132.51009729059265,215.49451529129036,menuju_matang
30.211690222479824,183.639662936377,219.55468366846492,menuju_matang
26.021721867451944,173.65249975184463,162.75968633160178,menuju_matang
16.359242457197897,128.5364322779107,207.67526333778702,menuju_matang
24.868847664410463,137.86345784239992,185.46352469290548,menuju_matang
22.782429975494715,141.80503807541302,195.9347579773919,menuju_matang
26.182199746120144,170.3920805863806,192.8746775316326,menuju_matang
29.442046773185755,190.67600196375972,209.7281978041596,menuju_matang
22.061419240562383,188.4534263256947,186.69124321930698,menuju_matang
23.96393788484655,134.20614282560166,226.5776071437333,menuju_matang
29.288301383967777,149.8250204415372,206.93019593591956,menuju_matang
21.14186386679223,120.9049632316108,175.08980704109644,menuju_matang
33.23383018950886,127.41006023831508,202.4816866728224,menuju_matang
41.116121237963256,109.91877198592901,196.81615321749635,menuju_matang
25.58370517269873,127.06821186580731,177.3282102131879,menuju_matang
22.491603937463807,125.60654313839026,212.24507817023738,menuju_matang
34.66871717929482,152.22126245847176,176.45495659629194,menuju_matang
29.863630651687654,147.89208072582875,201.57382693709317,menuju_matang
27.86663101604278,175.91860962566844,182.5420320855615,menuju_matang
26.123745010281844,183.34961723893622,161.00533964644285,menuju_matang
26.185983827493263,164.0879874842139,133.31466646560986,menuju_matang
30.78338717838932,140.7498540344868,174.19181814643258,menuju_matang
34.715854649371025,113.11139439105706,212.72731347883337,menuju_matang
